0000	Bob     
0001	Olivia  
0002	Mitzi   
0003	Kiki    
0004	Tangy   
0005	Kabuki  
0006	Tabby   
0007	Monique 
0008	Stinky  
0009	Purrl   
000A	Kitty   
000B	Tom     
000C	Rosie   
000D	Nosegay 
000E	Zoe     
000F	Pango   
0010	Cyrano  
0011	Snooty  
0012	Teddy   
0013	Chow    
0014	Dozer   
0015	Nate    
0016	Groucho 
0017	Tutu    
0018	Ursala  
0019	Grizzly 
001A	Pinky   
001B	Jay     
001C	Twiggy  
001D	Anchovy 
001E	Piper   
001F	Admiral 
0020	Otis    
0021	Robin   
0022	Midge   
0023	Ace     
0024	Twirp   
0025	Chuck   
0026	Stu     
0027	Goose   
0028	Betty   
0029	Hector  
002A	Egbert  
002B	Ava     
002C	Hank    
002D	Leigh   
002E	Rhoda   
002F	Vladimir
0030	Murphy  
0031	Cupcake 
0032	Kody    
0033	Maple   
0034	Pudge   
0035	Olive   
0036	Poncho  
0037	Bluebear
0038	Patty   
0039	Petunia 
003A	Bessie  
003B	Belle   
003C	Alfonso 
003D	Boots   
003E	Liz     
003F	Biskit  
0040	Goldie  
0041	Daisy   
0042	Lucky   
0043	Portia  
0044	Maddie  
0045	Butch   
0046	Bill    
0047	Pompom  
0048	Joey    
0049	Scoot   
004A	Derwin  
004B	Freckles
004C	Paolo   
004D	Dizzy   
004E	Axel    
004F	Emerald 
0050	Tad     
0051	Wart Jr 
0052	Cousteau
0053	Puddles 
0054	Lily    
0055	Jeremiah
0056	Huck    
0057	Camofrog
0058	Ribbot  
0059	Prince  
005A	Jambette
005B	Billy   
005C	Chevre  
005D	Iggy    
005E	Gruff   
005F	Sven    
0060	Velma   
0061	Jane    
0062	Cesar   
0063	Louie   
0064	Peewee  
0065	Rollo   
0066	Bubbles 
0067	Bertha  
0068	Elmer   
0069	Winnie  
006A	Savannah
006B	Ed      
006C	Cleo    
006D	Peaches 
006E	Buck    
006F	Carrie  
0070	Mathilda
0071	Marcy   
0072	Kitt    
0073	Valise  
0074	Astrid  
0075	Sydney  
0076	Gonzo   
0077	Ozzie   
0078	Yuka    
0079	Huggy   
007A	Rex     
007B	Aziz    
007C	Leopold 
007D	Samson  
007E	Penny   
007F	Dora    
0080	Chico   
0081	Candi   
0082	Rizzo   
0083	Anicotti
0084	Limberg 
0085	Carmen  
0086	Octavian
0087	Sandy   
0088	Sprocket
0089	Rio     
008A	Queenie 
008B	Apollo  
008C	Buzz    
008D	Quetzal 
008E	Amelia  
008F	Pierce  
0090	Roald   
0091	Aurora  
0092	Hopper  
0093	Cube    
0094	Puck    
0095	Gwen    
0096	Friga   
0097	Curly   
0098	Truffles
0099	Spork   
009A	Hugh    
009B	Rasher  
009C	Sue E   
009D	Hambo   
009E	Lucy    
009F	Cobb    
00A0	Boris   
00A1	Bunnie  
00A2	Doc     
00A3	Gaston  
00A4	Coco    
00A5	Gabi    
00A6	Dotty   
00A7	Genji   
00A8	Snake   
00A9	Claude  
00AA	Tank    
00AB	Spike   
00AC	Tiara   
00AD	Vesta   
00AE	Filbert 
00AF	Hazel   
00B0	Peanut  
00B1	Pecan   
00B2	Ricky   
00B3	Static  
00B4	Mint    
00B5	Nibbles 
00B6	Tybalt  
00B7	Rolf    
00B8	Bangle  
00B9	Lobo    
00BA	Freya   
00BB	Chief   
00BC	Weber   
00BD	Mallary 
00BE	Wolfgang
00BF	Hornsby 
00C0	Oxford  
00C1	T-Bone  
00C2	Biff    
00C3	Opal    
00C4	Bones   
00C5	Bea     
00C6	Bitty   
00C7	Rocco   
00C8	Lulu    
00C9	Blaire  
00CA	Sally   
00CB	Ellie   
00CC	Eloise  
00CD	Alli    
00CE	Pippy   
00CF	Eunice  
00D0	Baabara 
00D1	Fang    
00D2	Deena   
00D3	Pate    
00D4	Stella  
00D5	Cashmere
00D6	Woolio  
00D7	Cookie  
00D8	        
00D9	        
00DA	ああああああああ
00DB	ああああああああ
