0000	Spooky Wardrobe     
0001	Spooky Wardrobe     
0002	Spooky Wardrobe     
0003	Spooky Wardrobe     
0004	Classic Wardrobe    
0005	Classic Wardrobe    
0006	Classic Wardrobe    
0007	Classic Wardrobe    
0008	Blue Wardrobe       
0009	Blue Wardrobe       
000A	Blue Wardrobe       
000B	Blue Wardrobe       
000C	Office Locker       
000D	Office Locker       
000E	Office Locker       
000F	Office Locker       
0010	Jingle Wardrobe     
0011	Jingle Wardrobe     
0012	Jingle Wardrobe     
0013	Jingle Wardrobe     
0014	Regal Armoire       
0015	Regal Armoire       
0016	Regal Armoire       
0017	Regal Armoire       
0018	Cabana Wardrobe     
0019	Cabana Wardrobe     
001A	Cabana Wardrobe     
001B	Cabana Wardrobe     
001C	Cabin Wardrobe      
001D	Cabin Wardrobe      
001E	Cabin Wardrobe      
001F	Cabin Wardrobe      
0020	Lovely Armoire      
0021	Lovely Armoire      
0022	Lovely Armoire      
0023	Lovely Armoire      
0024	Green Wardrobe      
0025	Green Wardrobe      
0026	Green Wardrobe      
0027	Green Wardrobe      
0028	Pear Wardrobe       
0029	Pear Wardrobe       
002A	Pear Wardrobe       
002B	Pear Wardrobe       
002C	Ranch Wardrobe      
002D	Ranch Wardrobe      
002E	Ranch Wardrobe      
002F	Ranch Wardrobe      
0030	Blue Cabinet        
0031	Blue Cabinet        
0032	Blue Cabinet        
0033	Blue Cabinet        
0034	Modern Wardrobe     
0035	Modern Wardrobe     
0036	Modern Wardrobe     
0037	Modern Wardrobe     
0038	Exotic Wardrobe     
0039	Exotic Wardrobe     
003A	Exotic Wardrobe     
003B	Exotic Wardrobe     
003C	Jingle Dresser      
003D	Jingle Dresser      
003E	Jingle Dresser      
003F	Jingle Dresser      
0040	Regal Dresser       
0041	Regal Dresser       
0042	Regal Dresser       
0043	Regal Dresser       
0044	Cabana Dresser      
0045	Cabana Dresser      
0046	Cabana Dresser      
0047	Cabana Dresser      
0048	Cabin Dresser       
0049	Cabin Dresser       
004A	Cabin Dresser       
004B	Cabin Dresser       
004C	Lovely Dresser      
004D	Lovely Dresser      
004E	Lovely Dresser      
004F	Lovely Dresser      
0050	Spooky Dresser      
0051	Spooky Dresser      
0052	Spooky Dresser      
0053	Spooky Dresser      
0054	Green Dresser       
0055	Green Dresser       
0056	Green Dresser       
0057	Green Dresser       
0058	Pear Dresser        
0059	Pear Dresser        
005A	Pear Dresser        
005B	Pear Dresser        
005C	Ranch Dresser       
005D	Ranch Dresser       
005E	Ranch Dresser       
005F	Ranch Dresser       
0060	Classic Vanity      
0061	Classic Vanity      
0062	Classic Vanity      
0063	Classic Vanity      
0064	Blue Bureau         
0065	Blue Bureau         
0066	Blue Bureau         
0067	Blue Bureau         
0068	Modern Dresser      
0069	Modern Dresser      
006A	Modern Dresser      
006B	Modern Dresser      
006C	Exotic Bureau       
006D	Exotic Bureau       
006E	Exotic Bureau       
006F	Exotic Bureau       
0070	Kiddie Dresser      
0071	Kiddie Dresser      
0072	Kiddie Dresser      
0073	Kiddie Dresser      
0074	Kiddie Bureau       
0075	Kiddie Bureau       
0076	Kiddie Bureau       
0077	Kiddie Bureau       
0078	Kiddie Wardrobe     
0079	Kiddie Wardrobe     
007A	Kiddie Wardrobe     
007B	Kiddie Wardrobe     
007C	Dresser             
007D	Dresser             
007E	Dresser             
007F	Dresser             
0080	Tansu               
0081	Tansu               
0082	Tansu               
0083	Tansu               
0084	Sewing Box          
0085	Sewing Box          
0086	Sewing Box          
0087	Sewing Box          
0088	Fan                 
0089	Fan                 
008A	Fan                 
008B	Fan                 
008C	Paper Lantern       
008D	Paper Lantern       
008E	Paper Lantern       
008F	Paper Lantern       
0090	Tea Table           
0091	Tea Table           
0092	Tea Table           
0093	Tea Table           
0094	Shogi Board         
0095	Shogi Board         
0096	Shogi Board         
0097	Shogi Board         
0098	Screen              
0099	Screen              
009A	Screen              
009B	Screen              
009C	Zabuton             
009D	Zabuton             
009E	Zabuton             
009F	Zabuton             
00A0	Bus Stop            
00A1	Bus Stop            
00A2	Bus Stop            
00A3	Bus Stop            
00A4	Froggy Chair        
00A5	Froggy Chair        
00A6	Froggy Chair        
00A7	Froggy Chair        
00A8	Lily-pad Table      
00A9	Lily-pad Table      
00AA	Lily-pad Table      
00AB	Lily-pad Table      
00AC	Refridgerator       
00AD	Refridgerator       
00AE	Refridgerator       
00AF	Refridgerator       
00B0	Chest               
00B1	Chest               
00B2	Chest               
00B3	Chest               
00B4	Rack                
00B5	Rack                
00B6	Rack                
00B7	Rack                
00B8	Red Sofa            
00B9	Red Sofa            
00BA	Red Sofa            
00BB	Red Sofa            
00BC	Red Armchair        
00BD	Red Armchair        
00BE	Red Armchair        
00BF	Red Armchair        
00C0	Hibachi             
00C1	Hibachi             
00C2	Hibachi             
00C3	Hibachi             
00C4	Stove               
00C5	Stove               
00C6	Stove               
00C7	Stove               
00C8	Cream Sofa          
00C9	Cream Sofa          
00CA	Cream Sofa          
00CB	Cream Sofa          
00CC	Tea Tansu           
00CD	Tea Tansu           
00CE	Tea Tansu           
00CF	Tea Tansu           
00D0	Pink Kotatsu        
00D1	Pink Kotatsu        
00D2	Pink Kotatsu        
00D3	Pink Kotatsu        
00D4	Blue Kotatsu        
00D5	Blue Kotatsu        
00D6	Blue Kotatsu        
00D7	Blue Kotatsu        
00D8	Folk Guitar         
00D9	Folk Guitar         
00DA	Folk Guitar         
00DB	Folk Guitar         
00DC	Country Guitar      
00DD	Country Guitar      
00DE	Country Guitar      
00DF	Country Guitar      
00E0	Rock Guitar         
00E1	Rock Guitar         
00E2	Rock Guitar         
00E3	Rock Guitar         
00E4	Hinaningyo          
00E5	Hinaningyo          
00E6	Hinaningyo          
00E7	Hinaningyo          
00E8	Papa Bear           
00E9	Papa Bear           
00EA	Papa Bear           
00EB	Papa Bear           
00EC	Mama Bear           
00ED	Mama Bear           
00EE	Mama Bear           
00EF	Mama Bear           
00F0	Baby Bear           
00F1	Baby Bear           
00F2	Baby Bear           
00F3	Baby Bear           
00F4	Classic Hutch       
00F5	Classic Hutch       
00F6	Classic Hutch       
00F7	Classic Hutch       
00F8	Classic Chair       
00F9	Classic Chair       
00FA	Classic Chair       
00FB	Classic Chair       
00FC	Classic Desk        
00FD	Classic Desk        
00FE	Classic Desk        
00FF	Classic Desk        
0100	Classic Table       
0101	Classic Table       
0102	Classic Table       
0103	Classic Table       
0104	Classic Cabinet     
0105	Classic Cabinet     
0106	Classic Cabinet     
0107	Classic Cabinet     
0108	Rocking Chair       
0109	Rocking Chair       
010A	Rocking Chair       
010B	Rocking Chair       
010C	Regal Cupboard      
010D	Regal Cupboard      
010E	Regal Cupboard      
010F	Regal Cupboard      
0110	Writing Desk        
0111	Writing Desk        
0112	Writing Desk        
0113	Writing Desk        
0114	Keiko Figurine      
0115	Keiko Figurine      
0116	Keiko Figurine      
0117	Keiko Figurine      
0118	Yuki Figurine       
0119	Yuki Figurine       
011A	Yuki Figurine       
011B	Yuki Figurine       
011C	Yoko Figurine       
011D	Yoko Figurine       
011E	Yoko Figurine       
011F	Yoko Figurine       
0120	Emi Figurine        
0121	Emi Figurine        
0122	Emi Figurine        
0123	Emi Figurine        
0124	Maki Figurine       
0125	Maki Figurine       
0126	Maki Figurine       
0127	Maki Figurine       
0128	Naomi Figurine      
0129	Naomi Figurine      
012A	Naomi Figurine      
012B	Naomi Figurine      
012C	Globe               
012D	Globe               
012E	Globe               
012F	Globe               
0130	Regal Chair         
0131	Regal Chair         
0132	Regal Chair         
0133	Regal Chair         
0134	Regal Table         
0135	Regal Table         
0136	Regal Table         
0137	Regal Table         
0138	Retro TV            
0139	Retro TV            
013A	Retro TV            
013B	Retro TV            
013C	Eagle Pole          
013D	Eagle Pole          
013E	Eagle Pole          
013F	Eagle Pole          
0140	Raven Pole          
0141	Raven Pole          
0142	Raven Pole          
0143	Raven Pole          
0144	Bear Pole           
0145	Bear Pole           
0146	Bear Pole           
0147	Bear Pole           
0148	Frog Woman Pole     
0149	Frog Woman Pole     
014A	Frog Woman Pole     
014B	Frog Woman Pole     
014C	Taiko Drum          
014D	Taiko Drum          
014E	Taiko Drum          
014F	Taiko Drum          
0150	Space Heater        
0151	Space Heater        
0152	Space Heater        
0153	Space Heater        
0154	Retro Stereo        
0155	Retro Stereo        
0156	Retro Stereo        
0157	Retro Stereo        
0158	Cabana Armchair     
0159	Cabana Armchair     
015A	Cabana Armchair     
015B	Cabana Armchair     
015C	Classic Sofa        
015D	Classic Sofa        
015E	Classic Sofa        
015F	Classic Sofa        
0160	Lovely End Table    
0161	Lovely End Table    
0162	Lovely End Table    
0163	Lovely End Table    
0164	Lovely Armchair     
0165	Lovely Armchair     
0166	Lovely Armchair     
0167	Lovely Armchair     
0168	Ivory Piano         
0169	Ivory Piano         
016A	Ivory Piano         
016B	Ivory Piano         
016C	Lovely Lamp         
016D	Lovely Lamp         
016E	Lovely Lamp         
016F	Lovely Lamp         
0170	Lovely Kitchen      
0171	Lovely Kitchen      
0172	Lovely Kitchen      
0173	Lovely Kitchen      
0174	Lovely Chair        
0175	Lovely Chair        
0176	Lovely Chair        
0177	Lovely Chair        
0178	Lovely Bed          
0179	Lovely Bed          
017A	Lovely Bed          
017B	Lovely Bed          
017C	Classic Clock       
017D	Classic Clock       
017E	Classic Clock       
017F	Classic Clock       
0180	Cabana Bed          
0181	Cabana Bed          
0182	Cabana Bed          
0183	Cabana Bed          
0184	Green Golf Bag      
0185	Green Golf Bag      
0186	Green Golf Bag      
0187	Green Golf Bag      
0188	White Golf Bag      
0189	White Golf Bag      
018A	White Golf Bag      
018B	White Golf Bag      
018C	Blue Golf Bag       
018D	Blue Golf Bag       
018E	Blue Golf Bag       
018F	Blue Golf Bag       
0190	Regal Bookcase      
0191	Regal Bookcase      
0192	Regal Bookcase      
0193	Regal Bookcase      
0194	Writing Chair       
0195	Writing Chair       
0196	Writing Chair       
0197	Writing Chair       
0198	Ranch Couch         
0199	Ranch Couch         
019A	Ranch Couch         
019B	Ranch Couch         
019C	Ranch Armchair      
019D	Ranch Armchair      
019E	Ranch Armchair      
019F	Ranch Armchair      
01A0	Ranch Tea Table     
01A1	Ranch Tea Table     
01A2	Ranch Tea Table     
01A3	Ranch Tea Table     
01A4	Ranch Hutch         
01A5	Ranch Hutch         
01A6	Ranch Hutch         
01A7	Ranch Hutch         
01A8	Ranch Bookcase      
01A9	Ranch Bookcase      
01AA	Ranch Bookcase      
01AB	Ranch Bookcase      
01AC	Ranch Chair         
01AD	Ranch Chair         
01AE	Ranch Chair         
01AF	Ranch Chair         
01B0	Ranch Bed           
01B1	Ranch Bed           
01B2	Ranch Bed           
01B3	Ranch Bed           
01B4	Ranch Table         
01B5	Ranch Table         
01B6	Ranch Table         
01B7	Ranch Table         
01B8	Computer            
01B9	Computer            
01BA	Computer            
01BB	Computer            
01BC	Office Desk         
01BD	Office Desk         
01BE	Office Desk         
01BF	Office Desk         
01C0	Master Sword        
01C1	Master Sword        
01C2	Master Sword        
01C3	Master Sword        
01C4	N Logo              
01C5	N Logo              
01C6	N Logo              
01C7	N Logo              
01C8	Vibraphone          
01C9	Vibraphone          
01CA	Vibraphone          
01CB	Vibraphone          
01CC	Biwa Lute           
01CD	Biwa Lute           
01CE	Biwa Lute           
01CF	Biwa Lute           
01D0	Conga Drum          
01D1	Conga Drum          
01D2	Conga Drum          
01D3	Conga Drum          
01D4	Extinguisher        
01D5	Extinguisher        
01D6	Extinguisher        
