0000	Airmail Paper       
0001	Sparkly Paper       
0002	Bamboo Paper        
0003	Orange Paper        
0004	Essay Paper         
0005	Panda Paper         
0006	Ranch Paper         
0007	Steel Paper         
0008	Blossom Paper       
0009	Vine Paper          
000A	Cloudy Paper        
000B	Petal Paper         
000C	Snowy Paper         
000D	Rainy Day Paper     
000E	Watermelon Paper    
000F	Deep Sea Paper      
0010	Starry Sky Paper    
0011	Daisy Paper         
0012	Bluebell Paper      
0013	Maple Leaf Paper    
0014	Woodcut Paper       
0015	Octopus Paper       
0016	Festive Paper       
0017	Skyline Paper       
0018	Museum Paper        
0019	Fortune Paper       
001A	Stageshow Paper     
001B	Thick Paper         
001C	Spooky Paper        
001D	Noodle Paper        
001E	Neat Paper          
001F	Horsetail Paper     
0020	Felt Paper          
0021	Parchment           
0022	Cool Paper          
0023	Elegant Paper       
0024	Lacy Paper          
0025	Polka-Dot Paper     
0026	Dizzy Paper         
0027	Rainbow Paper       
0028	Hot Neon Paper      
0029	Cool Neon Paper     
002A	Aloha Paper         
002B	Ribbon Paper        
002C	Fantasy Paper       
002D	Woodland Paper      
002E	Gingko Paper        
002F	Fireworks Paper     
0030	Winter Paper        
0031	Gyroid Paper        
0032	Ivy Paper           
0033	Wing Paper          
0034	Dragon Paper        
0035	Tile Paper          
0036	Misty Paper         
0037	Simple Paper        
0038	Honeybee Paper      
0039	Mystic Paper        
003A	Sunset Paper        
003B	Lattice Paper       
003C	Dainty Paper        
003D	Butterfly Paper     
003E	New Year's Card     
003F	Inky Paper          
