0000	Net                 
0001	Axe                 
0002	Shovel              
0003	Fishing Rod         
0004	Gelato Umbrella     
0005	Daffodil Parasol    
0006	Berry Umbrella      
0007	Orange Umbrella     
0008	Mod Umbrella        
0009	Petal Parasol       
000A	Ribbon Parasol      
000B	Gingham Parasol     
000C	Plaid Parasol       
000D	Lacy Parasol        
000E	Elegant Umbrella    
000F	Dainty Parasol      
0010	Classic Umbrella    
0011	Nintendo Parasol    
0012	Bumbershoot         
0013	Sunny Parasol       
0014	Batbrella           
0015	Checked Umbrella    
0016	Yellow Umbrella     
0017	Leaf Umbrella       
0018	Lotus Parasol       
0019	Paper Parasol       
001A	Polka Parasol       
001B	Sharp Umbrella      
001C	Twig Parasol        
001D	Noodle Parasol      
001E	Hypno Parasol       
001F	Pastel Parasol      
0020	Retro Umbrella      
0021	Icy Umbrella        
0022	Blue Umbrella       
0023	Flame Umbrella      
