0000	Flame Shirt         
0001	Paw Shirt           
0002	Wavy Pink Shirt     
0003	Furture Shirt       
0004	Bold Check Shirt    
0005	Mint Gingham        
0006	Bad Plaid Shirt     
0007	Speedway Shirt      
0008	Folk Shirt          
0009	Daisy Shirt         
000A	Wavy Tan Shirt      
000B	Optical Shirt       
000C	Rugby Shirt         
000D	Sherbet Gingham     
000E	Yellow Tartan       
000F	Gelato Shirt        
0010	Work Uniform        
0011	Patched Shirt       
0012	Plum Kimono         
0013	Somber Robe         
0014	Red Sweatsuit       
0015	Blue Sweatsuit      
0016	Red Puffy Vest      
0017	Blue Puffy Vest     
0018	Summer Robe         
0019	Bamboo Robe         
001A	Red Aloha Shirt     
001B	Blue Aloha Shirt    
001C	Dark Polka Shirt    
001D	Lite Polka Shirt    
001E	Lovely Shirt        
001F	Citrus Shirt        
0020	Kiwi Shirt          
0021	Watermelon Shirt    
0022	Strawberry Shirt    
0023	Grape Shirt         
0024	Melon Shirt         
0025	Jingle Shirt        
0026	Blossom Shirt       
0027	Icy Shirt           
0028	Crewel Shirt        
0029	Tropical Shirt      
002A	Ribbon Shirt        
002B	Fall Plaid Shirt    
002C	Fiendish Shirt      
002D	Chevron Shirt       
002E	Ladybug Shirt       
002F	Botanical Shirt     
0030	Anju's Shirt        
0031	Kaffe's Shirt       
0032	Lavender Robe       
0033	Blue Grid Shirt     
0034	Butterfly Shirt     
0035	Blue Tartan         
0036	Gracie's Top        
0037	Orange Tie-Die      
0038	Purple Tie-Die      
0039	Green Tie-Die       
003A	Blue Tie-Die        
003B	Red Tie-Die         
003C	One-Ball Shirt      
003D	Two-Ball Shirt      
003E	Three-Ball Shirt    
003F	Four-Ball Shirt     
0040	Five-Ball Shirt     
0041	Six-Ball Shirt      
0042	Seven-Ball Shirt    
0043	Eight-Ball Shirt    
0044	Nine-Ball Shirt     
0045	Arctic Camo         
0046	Jungle Camo         
0047	Desert Camo         
0048	Rally Shirt         
0049	Racer Shirt         
004A	Racer 6 Shirt       
004B	Fish Bone Shirt     
004C	Spiderweb Shirt     
004D	Zipper Shirt        
004E	Bubble Shirt        
004F	Yellow Bolero       
0050	Nebula Shirt        
0051	Neo-Classic Knit    
0052	Noble Shirt         
0053	Turnip Top          
0054	Oft-Seen Print      
0055	Ski Sweater         
0056	Circus Shirt        
0057	Patchwork Top       
0058	Mod Top             
0059	Hippie Shirt        
005A	Rickrack Shirt      
005B	Diner Uniform       
005C	Shirt Circuit       
005D	U R Here Shirt      
005E	Yodel Shirt         
005F	Pulse Shirt         
0060	Prism Shirt         
0061	Star Shirt          
0062	Straw Shirt         
0063	Noodle Shirt        
0064	Dice Shirt          
0065	Kiddie Shirt        
0066	Frog Shirt          
0067	Moody Blue Shirt    
0068	Cloudy Shirt        
0069	Fortune Shirt       
006A	Skull Shirt         
006B	Desert Shirt        
006C	Aurora Knit         
006D	Winter Sweater      
006E	Go-Go Shirt         
006F	Jade Check Print    
0070	Blue Check Print    
0071	Red Grid Shirt      
0072	Flicker Shirt       
0073	Floral Knit         
0074	Rose Shirt          
0075	Sunset Top          
0076	Chain-Gang Shirt    
0077	Spring Shirt        
0078	Bear Shirt          
0079	MVP Shirt           
007A	Silk Bloom Shirt    
007B	Pop Bloom Shirt     
007C	Loud Bloom Shirt    
007D	Hot Spring Shirt    
007E	New Spring Shirt    
007F	Deep Blue Tee       
0080	Snowcone Shirt      
0081	Ugly Shirt          
0082	Sharp Outfit        
0083	Painter's Smock     
0084	Spade Shirt         
0085	Blossoming Shirt    
0086	Peachy Shirt        
0087	Static Shirt        
0088	Rainbow Shirt       
0089	Groovy Shirt        
008A	Loud Line Shirt     
008B	Dazed Shirt         
008C	Red Bar Shirt       
008D	Blue Stripe Knit    
008E	Earthy Knit         
008F	Spunky Knit         
0090	Deer Shirt          
0091	Blue Check Shirt    
0092	Light Line Shirt    
0093	Blue Pinestripe     
0094	Diamond Shirt       
0095	Lime Line Shirt     
0096	Big Bro's Shirt     
0097	Green Bar Shirt     
0098	Yellow Bar Shirt    
0099	Monkey Shirt        
009A	Polar Fleece        
009B	Ancient Knit        
009C	Fish Knit           
009D	Vertigo Shirt       
009E	Misty Shirt         
009F	Stormy Shirt        
00A0	Red Scale Shirt     
00A1	Blue Scale Shirt    
00A2	Heart Shirt         
00A3	Yellow Pinstripe    
00A4	Club Shirt          
00A5	Li'l Bro's Shirt    
00A6	Argyle Knit         
00A7	Caveman Tunic       
00A8	Café Shirt          
00A9	Tiki Shirt          
00AA	A Shirt             
00AB	Checkered Shirt     
00AC	No. 1 Shirt         
00AD	No. 2 Shirt         
00AE	No. 3 Shirt         
