0000	Plush Carpet        
0001	Classic Carpet      
0002	Checkered Tile      
0003	Old Flooring        
0004	Red Tile            
0005	Birch Flooring      
0006	Classroom Floor     
0007	Lovely Carpet       
0008	Exotic Rug          
0009	Mossy Carpet        
000A	18 Mat Tatami       
000B	8 Mat Tatami        
000C	Citrus Carpet       
000D	Cabin Rug           
000E	Closed Road         
000F	Lunar Surface       
0010	Sand Garden         
0011	Spooky Carpet       
0012	Western Desert      
0013	Green Rug           
0014	Blue Flooring       
0015	Regal Carpet        
0016	Ranch Flooring      
0017	Modern Tile         
0018	Cabana Flooring     
0019	Snowman Carpet      
001A	Backyard Lawn       
001B	Music Room Floor    
001C	Plaza Tile          
001D	Kitchen Tile        
001E	Ornate Rug          
001F	Tatami Floor        
0020	Bamboo Flooring     
0021	Kitchen Flooring    
0022	Charcoal Tile       
0023	Stone Tile          
0024	Imperial Tile       
0025	Opulent Rug         
0026	Slate Flooring      
0027	Ceramic Tile        
0028	Fancy Carpet        
0029	Cowhide Rug         
002A	Steel Flooring      
002B	Office Flooring     
002C	Ancient Tile        
002D	Exquisite Rug       
002E	Sandlot             
002F	Jingle Carpet       
0030	Daisy Meadow        
0031	Sidewalk            
0032	Mosaic Tile         
0033	Parquet Floor       
0034	Basement Floor      
0035	Chessboard Rug      
0036	Kiddie Carpet       
0037	Shanty Mat          
0038	Concrete Floor      
0039	Saharah's Desert    
003A	Tartan Rug          
003B	Palace Tile         
003C	Tropical Floor      
003D	Playroom Rug        
003E	Kitschy Tile        
003F	Diner Tile          
