0000	Chic Wall           
0001	Classic Wall        
0002	Parlor Wall         
0003	Stone Wall          
0004	Blue-Trim Wall      
0005	Plaster Wall        
0006	Classroom Wall      
0007	Lovely Wall         
0008	Exotic Wall         
0009	Mortar Wall         
000A	Gold Screen Wall    
000B	Tea Room Wall       
000C	Citrus Wall         
000D	Cabin Wall          
000E	Blue Tarp           
000F	Lunar Horizon       
0010	Garden Wall         
0011	Spooky Wall         
0012	Western Vista       
0013	Green Wall          
0014	Blue Wall           
0015	Regal Wall          
0016	Ranch Wall          
0017	Modern Wall         
0018	Cabana Wall         
0019	Snowman Wall        
001A	Backyard Fence      
001B	Music Room Wall     
001C	Plaza Wall          
001D	Lattice Wall        
001E	Ornate Wall         
001F	Modern Screen       
0020	Bamboo Wall         
0021	Kitchen Wall        
0022	Old Brick Wall      
0023	Stately Wall        
0024	Imperial Wall       
0025	Manor Wall          
0026	Ivy Wall            
0027	Mod Wall            
0028	Rose Wall           
0029	Wood Paneling       
002A	Concrete Wall       
002B	Office Wall         
002C	Ancient Wall        
002D	Exquisite Wall      
002E	Sandlot Wall        
002F	Jingle Wall         
0030	Meadow Vista        
0031	Tree-Lined Wall     
0032	Mosaic Wall         
0033	Arched Window       
0034	Basement Wall       
0035	Backgammon Wall     
0036	Kiddie Wall         
0037	Shanty Wall         
0038	Industrial Wall     
0039	Desert Vista        
003A	Library Wall        
003B	Floral Wall         
003C	Tropical Vista      
003D	Playroom Wall       
003E	Kitschy Wall        
003F	Groovy Wall         
