0000	Common Butterfly    
0001	Yellow Butterfly    
0002	Tiger Butterfly     
0003	Purple Butterfly    
0004	Robust Cicada       
0005	Walker Cicada       
0006	Evening Cicada      
0007	Brown Cicada        
0008	Bee                 
0009	Common Dragonfly    
000A	Red Dragonfly       
000B	Darner Dragonfly    
000C	Banded Dragonfly    
000D	Long Locust         
000E	Migratory Locust    
000F	Cricket             
0010	Grasshopper         
0011	Bell Cricket        
0012	Pine Cricket        
0013	Drone Beetle        
0014	Dynastid Beetle     
0015	Flat Stag Beetle    
0016	Jewel Beetle        
0017	Longhorn Beetle     
0018	Ladybug             
0019	Spotted Ladybug     
001A	Mantis              
001B	Firefly             
001C	Cockroach           
001D	Saw Stag Beetle     
001E	Mountain Beetle     
001F	Giant Beetle        
