0000	これはツールメイル0\r\r\r\r\r\r
0001	これはツールメイル1です。\r"[string 11]" "[string 12]"\r"[string 13]" "[string 14]"\r[string 15]ねん[string 16]がつ[string 17]にち\r[string 18]がつ[string 19]にち[string 20]じ\r\r
0002	あなたのおへやをいろどる「かぐ」ものたりなくないだなも?\r「[string 8]」が、\rきんきゅう にゅうかだなも!\r[string 18][string 19][string 20]\rはんばいかいしだなも!\r\r
0003	とくべつにゅうかのきちょうな\r「じゅうたん」のとくばいだなも!げんてい、たったの[string 1]まい!\rかいてんは、[string 18][string 19]!\r[string 20]から1じかんだけ!\rはやいものがちだなも!!\r\r
0004	とってもきれいで きちょうな\r「かべがみ」きんきゅうにゅうか!たったの[string 1]まい! かわなきゃソンはつばいかいしは、\r[string 18][string 19][string 20]\r1じかんで、しめちゃうだなも!\r\r\r
0005	いっつも、おなじふくきてちゃ\rつまらないだなも! だれももっていない「ふく」をきて、\rこせいをえんしゅつするだなも!\r[string 18][string 19][string 20]\r1じかんだけのタイムサービス!\r\r
0006	あなたのおへやをいろどる「かぐ」ものたりなくないだなも?\rとてもめずらしい「かぐ」[string 1]てん\r1じかんのげんていはんばいだなも[string 18][string 19]\r[string 20]、はんばいかいし!\r\r\r
0007	とくべつにゅうかのきちょうな\r「じゅうたん」のとくばいだなも!げんてい、たったの[string 1]まい!\rはんばいは、[string 18][string 19]!\r[string 20]から1じかんだけ!\rはやいものがちだなも!!\r\r
0008	とってもきれいで きちょうな\r「かべがみ」きんきゅうにゅうか!たったの[string 1]まい! かわなきゃソンはんばいかいしは、\r[string 18][string 19][string 20]\r1じかんで、しめちゃうだなも!\r\r\r
0009	いっつも、おなじふくきてちゃ\rつまらないだなも! だれももっていない「ふく」をきて、\rこせいをえんしゅつするだなも!\r[string 18][string 19][string 20]\r1じかんだけのタイムサービス!\r\r
000A	あなたのおへやをいろどる「かぐ」ものたりなくないだなも?\rとてもめずらしい「かぐ」[string 1]てん\r1じかんのげんていはんばいだなも[string 18][string 19]\r[string 20]、かいてんだなも!\r\r\r
000B	とくべつにゅうかのきちょうな\r「じゅうたん」のとくばいだなも!げんてい、たったの[string 1]まい!\rかいてんは、[string 18][string 19]!\r[string 20]から1じかんだけ!\rはやいものがちだなも!!\r\r
000C	とってもきれいで きちょうな\r「かべがみ」きんきゅうにゅうか!たったの[string 1]まい! かわなきゃソンはつばいかいしは、\r[string 18][string 19][string 20]\r1じかんで、しめちゃうだなも!\r\r\r
000D	いっつも、おなじふくきてちゃ\rつまらないだなも! だれももっていない「ふく」をきて、\rこせいをえんしゅつするだなも!\r[string 18][string 19][string 20]\r1じかんだけのタイムサービス!\r\r
000E	あなたのおへやをいろどる「かぐ」ものたりなくないだなも?\rとてもめずらしい「かぐ」[string 1]てん\r1じかんのげんていはんばいだなも[string 18][string 19]\r[string 20]、スタートだなも!\r\r\r
000F	とくべつにゅうかのきちょうな\r「じゅうたん」のとくばいだなも!げんてい、たったの[string 1]まい!\rはんばいは、[string 18][string 19]!\r[string 20]から1じかんだけ!\rはやいものがちだなも!!\r\r
0010	とってもきれいで きちょうな\r「かべがみ」きんきゅうにゅうか!たったの[string 1]まい! かわなきゃソンはんばいかいしは、\r[string 18][string 19][string 20]\r1じかんで、しめちゃうだなも!\r\r\r
0011	いっつも、おなじふくきてちゃ\rつまらないだなも! だれももっていない「ふく」をきて、\rこせいをえんしゅつするだなも!\r[string 18][string 19][string 20]\r1じかんだけのタイムサービス!\r\r
0012	きょうは、とってもめずらしい\rしながにゅうかしたんだなも!\rいまをのがすと、もう2どと\rてにはいらないかも\rしれないんだなも!\r\r
0013	おとくいさまだけにおおくりする\rみみよりじょうほうなんだなも!\rほんじつ、なかなかてにはいらないしなものが、\rにゅうかしましたんだなも!\r\r\r
0014	きょうのスペシャル「かぐ」は\rなんと「[string 8]」\rほかにもめずらしい しなが\rたっくさんにゅうか!\r\r\r
0015	きょうのスペシャル「かぐ」は\rなんと「[string 8]」\rはやくこないと なくなるよ!\rごらいてんを まってるだなも!\r\r\r
0016	ほんじつの とくせん「かぐ」は\rなんと「[string 8]」\rそのほかにも きちょうなしなを\rよういして おまちしております!みんなできてネだなも!\r\r\r
0017	ほんじつの とくせん「かぐ」は\rなんと「[string 8]」\rみなさまの ごらいてんを\rこころより おまちもうしあげて\rおります、だなも!\r\r
0018	みなさまのおかげで、だいぶ\rもうかったので、おみせをかいそうするんだも! [string 3]の\r[string 1][string 2]までのあいだ\rへいてんさせていただくんだなも。ごめいわくをおかけするんだなも。\r\r\r
0019	おみせのかいそうを することに\rしたんだなも。 [string 3]の\r[string 1][string 2]までのあいだ\rきゅうぎょうするんだなも。\rゆるしてほしいんだなも!\r\r
001A	みなさまのごあいこのおかげで、\rさらにおおきなおみせにかいちく\rすることになったんだなも。\rかいてんは、[string 3]の\r[string 1][string 2]のよていだも。\rごめいわくをおかけするんだなも。\r
001B	いつもおせわになってるんだなも!このたび、しんそうかいてんする\rことになったんだなも。ちょこっとおみせもおおきくなったんだなも!よりいっそうのごあいこを\rおねがいするんだなも!\r\r\r\r
001C	まいどまいどおひきたて\rありがとうだなも! ほんじつ、\rリニューアルオープンのはこびと\rなりました!これからも\rみなさんによろこばれる\rサービスにつとめるんだなも!\r
001D	ついにここまできたんだなも!\rタヌキデパート、グランドオープンこれもひとえに、みなさんの\rおかげなんだなも! こんごとも、よりいっそうのごあいこを\rおねがいするんだなも!\r\r\r
001E	    ～ おしらせ ～\r\r   この けいじばんは、\r  むらにすむ みなさんへ\r  たいせつな おしらせを\r   するためのものです。\r
001F	ハッピールーム・アカデミーの\rしんさを うけてくれるひとを\rぼしゅうちゅうだなも!\r「われこそは!」というひとは\rおみせまで きてくださいだも!\r        たぬきち\r
0020	～ついしん～\rちなみに てんすうのめやすは、\r1まんてん まだまだダメ!\r2まんてん うえにはうえが!\r7まんてん ぼちぼちかなー、\rだそうなんだなも。 どうだも?\r
0021	   ～ つかいかた ～\r\rAボタンをおすと かきこめます。Cボタンで ページをめくれます。Bボタンで おわります。\r  Let's try me!\r\r\r
0022	たびをするのはいいものだな。しらないとちにいってしらないひととしりあうのって、すてきなことだとおもわないか?いつのひかまたきみにあえるひがくるかもだな!それまでたっしゃでくらせよ!\r\r\r\r\r\r
0023	 おのれをけし\r あゆみはかぜのごとく\r あかつきにたつ\r\rわしは「まぼろし」をもとめて\rたびにでる。\r
0024	さいごにひとつ、でんじゅして\r「めんきょかいでん」とする!\r「き」もまた いのち。むやみやたら きったりしないよう、みんなのためにそのうでをふるうこと!\rいじょう!\r\r\r
0025	オラがきたときゃ なんもなく、\rいっしょうけんめい たがやして\rハナうえただ。\r\rちっとは すごしやすいむらに\rなっただか?\r
0026	メロディーをつくるとき、むつかしくかんがえないほうがいいよ。\rさいしょはテキトーに♪をならべていって、あとで、おかしな♪を、\rちょっとなおすだけで、いがいと\rいけるもんだよ。\r\r\r
0027	むらをかいたくしてから\rだいぶたつが、げんきか。\rひとついいわすれたが\rいえのかげではきはそだたん。\rひのあたるひろびろとしたところにうえてやりなさい。\r\r
0028	チャオ!! おげんきぃ?\rだいニュースよ!\rあのさすらいのミュージシャン\rとたけけさんが\rそっちにいってるらしいの!\rしんきょくもらうチャンスだわ!\r
0029	♪ もしもなきごえきいたなら\r  あたりくまなくさがしだせ\r  きっとそこにヤツがいる\r  ソロソロあるきでちかづいて\r  ズバッとあみをふりおろす\r  おいらムシとりしょうねんさ\r
002A	ぼうけんするきもちをわすれない\rことです。せかいはかぎりなく\rひろがっています。\rそとのせかいにもめをむけて\rごらんなさい。きっとすばらしい\rであいがまっているはずです。\r
002B	  あ   ししし\r  たか  へ  へ\r  しわ  め  め\r  っい   く\r  てい    つ\r   ?\r
002C	このまえとおりかかったあなたのむらはとてもすてきでした。かわでいっしょにとったさかなのおひるごはん、うまかった!こちらではめずらしいものばかりだったよ。こんどはそちらにすもうかな・・。\r\r\r\r\r\r
002D	オンガクはすきですか?\rあめのオトや、むしのコエは?\rこのむらも、オトでいっぱい。\rねんにいちどだけのキョクがある。あなたしかきこえないオトもある。さがしてみてね。\r\r\r
