0000	          \r          \r          \r       Zero\r[close]
0001	テストメッセージ1\rもじれつ"[string 21]"\r[close]
0002	プレイヤーのじょうたいを\rアンラッキーにします。#7F44#[wait]\r[CLS]これはせんたくウインドウを\rひらいたあとのけいぞくを\rスムーズにするじっけんです\r%SFN%をしようしています[menu 0007 0008][default][wait]#7F0D#[selected 1 FFFF][selected 2 0004][jump2sel]#7F5B#\r[open]
0003	これはメッセージの\rけいぞくじっけんです。\rつぎのメッセージにいきます。\r[jump 0002]\r[open]
0004	てがみデータをひょうじします[wait]\r[CLS][message][wait]\r[CLS]アイテム0[string 21]\rアイテム4[string 25]\r[wait]\r[CLS]げんざいのくにめい\r"[town]"\r0から99のランダムすう"[number]"[wait]\r[CLS]デモめいれいじっけん\rプレイヤーのへんすう0ばんに2を#7F08 00 00 02#[pause 60]#7F08 00 00 FF#\rビックリ!!![wait]\r[CLS]カーソルしょりキャンセルじっけん\rキャンセルふかのう[quick off]\rああああああああああああああああ\rああああああああああああああああ[wait]\r[CLS]キャンセルかのう[quick on]\rああああああああああああああああ\rああああああああああああああああ\rああああああああああああああああ[wait]\r[CLS]じゆうに もじれつをおきかえる\rじっけんです。\rもじれつ0ばん "[string 1]"\rもじれつ9ばん "[string 10]"[wait]\r[CLS]げんざい\r[year][month][date]\r[weekday]\r[hours][mins][secs][wait]\r[CLS]あなたのなまえは\r"[player]"[nickname]。\rわたしのなまえは\r"[speaker]"[nickname]。[wait]\r[CLS][color 0 255 255]これはもじの\r[color 0 255 0]いろかえじっけんです。\r[color 0 0 255]ぎょうごとにいろがかわります。\r[color 255 0 0]%CC%をよぶと[wait]\r[CLS]じどうでリセットされます\rじどうでリセットされます\rじどうでリセットされます\rじどうでリセットされます[wait]\r[CLS]これは ひょうじを\rおくらせるじっけんです。\r[pause 1]1 [pause 2]2 [pause 5]5 [pause 10]10 [pause 20]20 [pause 30]30[wait]\r[CLS]AAAAAAAAAAAAAAAA\rAAAAAAAAAAAAAAAA\rAAAAAAAAAAAAAAAA\rAAAAAAAAAAAAAAAA[wait]\r[CLS]メッセージのさいごには\rボタンおしまち(%PB%)\rがめんクリヤー(%CC%)\rをいれないように\r[close]
0005	おんぷれんぞく[wait]\r♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪\r♪♪♪♪♪♪♪♪♪♪♪♪♪♪♪[wait]\r[CLS]おんぷスペースこうご[wait]\r ♪ ♪ ♪ ♪ ♪ ♪\r ♪ ♪ ♪ ♪ ♪ ♪[wait]\r[CLS]おんぷハートこうご[wait]\r$h♪$h♪$h♪$h♪$h♪$h♪\r$h♪$h♪$h♪$h♪$h♪$h♪[wait]\r[CLS]おんぷ50おんこうご[wait]\rあ♪い♪う♪え♪お♪\rか♪き♪く♪け♪こ♪[wait]\r[CLS]のばすおと[wait]\rあーーーーーーーーー♪[pause 3]\rあーーーーーー♪ーーー[pause 3]\rあ♪ーーーーーーーーー[wait]\r[CLS]#7F52 92##7F53 02#     [color #1 75 160 0][size1 40]♪ #7F52 A0#[pause 10][color #1 225 30 215][size1 64]♪ #7F52 96#[pause 10][color #1 50 75 225][size1 38]♪\r[close]
0006	きじゅんおんせい。[wait]\r#7F5D#おんせいぎゃくに。[wait]\r#7F5C#おんせいもとに。[wait]\r#7F5D#おんせいぎゃくに。\r[close]
0007	しんらいできるひとを じぶんよりも\rたいせつにするひとです。\r[close]
0008	ユーモアをたいせつにして\rいつも にぎやかにすることを\rこのむひとです。\r[close]
0009	メッセージのかんじょうを\rサウンドへれんらくするじっけん\rどれをえらぶ?[menu 00D4 00D5 00D6 00B3][wait]#7F0D#[selected 1 000A][selected 2 000B][selected 3 000C][selected 4 0012][jump2sel]\r[open]
000A	つうじょうじょうたいにします#7F4B#[jump 0003]\r[open]
000B	おこったじょうたいにします#7F4C#[jump 0003]\r[open]
000C	かなしいじょうたいにします#7F4D#[jump 0003]\r[open]
000D	うれしいじょうたいにします#7F4E#[jump 0003]\r[open]
000E	ねむいじょうたいにします#7F4F#[jump 0003]\r[open]
