0000	こんにちは、[string 1]くん\rおてがみ よませてもらったよぉ。
0001	こんにちは、ごきげんはどうかな?ボクは、ぼちぼちかなぁ。\r
0002	[string 1]くん、げんきぃ?\rボクは、ねむたいよぉ・・・\r
0003	こんにちは、[string 2]です。\rおてがみ ありがとうねぇ。\r
0004	こんにちは、[string 1]くん\rおせわに なってまぁーす!\r
0005	おてがみ ありがとうねぇ!\rおもしろかったよぉ!!\r
0006	このあいだは、おてがみをくれて\rありがとう、うれしかったよぉ!\r
0007	やあ、[string 1]くん\rおてがみ よんじゃったよ。\r
0008	いつも [string 1]くんの\rおてがみ たのしみにしてるよ!\r
0009	おーい、[string 1]くーん!\r[string 2]だよぉ!!\r
000A	あのね [string 1]くん、\rなにか おもしろいことあった?\r
000B	おてがみ ありがとぉ!\rさっそく へんじをかくねぇ。\r
000C	こんにちは、[string 1]くん\rちゃんと おきられた?\r
000D	おてがみ よんだよぉ!\rなんか [string 13]!\r
000E	こんにちは、[string 1]くん\rおひるねは きもちいいよぉ。\r
000F	こんにちは、[string 1]くん\rきょうも ねむたいやぁ。\r
0010	[string 12]な おてがみ\rありがとうねぇ!\r
0011	[string 1]くんの おてがみ\rいつも たのしみなんだぁ!\r
0012	やあ、[string 2]です。\r[string 1]くん、いきてる?\r
0013	くうふくかんを まぎらわすためにおてがみを かきます。\r
0014	どうも [string 2]だよ。\rおてがみ うれしかったよ。\r
0015	こんにちは。きょうは、なんだか\rおなかがすいて たまらないよ。\r
0016	ヒマだなーって おもってたら\rおてがみがきて ハッピーだった。
0017	[string 1]くんの おてがみ\rいっつも [string 13]だね!\r
0018	さいきん、たのしいこと ある?\rボクは、ねるのが たのしいの。\r
0019	おてがみ ありがとう。\r[string 2]です。\r
001A	[string 1]くーん!\rもう おひるごはん たべたー?\r
001B	まいかい [string 12]な\rおてがみ ありがとねー!\r
001C	ちいさいようふくが キライな\r[string 2]でーす。\r
001D	おひるごはんを たべるまえに\rおへんじを かいています。\r
001E	こんにちは。 あなほりの\rちょうしは、どうですか?\r
001F	[string 1]くん \rあめあがりのハニワ ほれた?\r
0020	こんにちは、[string 1]さん。\rおてがみ よみましたよ。\r
0021	こんにちは、ごきげんいかが?\rわたしは、げんきですよ。\r
0022	[string 1]さん、げんき?\rわたしは、ピンピンしてますよ。\r
0023	こんにちは、[string 2]です。\rおてがみ ありがとう。\r
0024	こんにちは、[string 1]さん。\rおてがみ ありがとう。\r
0025	おてがみ ありがとうございます。おもしろかったです。\r
0026	このあいだは、おてがみ\rありがとうございました。\r
0027	[string 1]さん、こんにちは。\rおもしろいおてがみ ありがとう。
0028	いつも[string 1]さんの\rおてがみ たのしみにしています。
0029	ごきげんいかが?\rわたしは、まあまあ、かしら?\r
002A	こんにちは、きょうはなにか\rおもしろいこと ありましたか?\r
002B	いつもあってるのに へんですけどおげんきですか? やっぱりへん?
002C	こんにちは、[string 1]さん。\rきょうも ごきげんですか?\r
002D	おてがみ よみましたよ。\rあいかわらず、おもしろいですね。
002E	こんにちは、[string 1]さん。\rきのうは、よくねむれましたか?\r
002F	こんにちは、[string 1]さん。\rちゃんと おしょくじしてますか?
0030	たのしいおてがみ、ありがとう。\rよんでたら、ふきだしちゃったわ。
0031	[string 1]さんの おてがみ\rたのしみに まっていましたよ。\r
0032	こんにちは、[string 2]です。\r[string 1]さん、おげんき?\r
0033	こんにちは。わたし、ちょっとだけカゼをひいてしまったみたいです。
0034	おげんきですか?\rカゼは まんびょうのもとですよ。
0035	こんにちは。きょうは、なんだか\rきぶんそうかいな かんじです。\r
0036	ちょうど たいくつしてたので\rおてがみ、うれしかったです。\r
0037	いつも [string 1]さんの\rおてがみ、たのしみにしています。
0038	こんにちは、なにかたのしいこと\rありましたか?\r
0039	いつも おせわになっています。\r[string 2]です。\r
003A	[string 1]さん、こんにちは。\rたのしいおてがみ ありがとう。\r
003B	いつも たのしいおてがみを\rありがとうございます。\r
003C	おはなしするのも いいですけど\rおてがみも うれしいです。\r
003D	こんにちは、[string 1]さん。\rはやねはやおき していますか?\r
003E	こんにちは。おうちのローンは、\rはらいおわりましたか?\r
003F	[string 1]さん、\rいかがおすごしですか?\r
0040	こんにちは、[string 1]ちゃん\rおてがみ よんだよ。\r
0041	こんにちは、ごきげんはどう?\rアタイは、ごっきげーん!\r
0042	[string 1]ちゃん、げんき?\rアタイは、もちよ!\r
0043	こんにちは、[string 2]よん!\rおてがみ ありがとうね。\r
0044	こんにちは、[string 1]ちゃん\rおてがみ サンキュー!!\r
0045	おてがみ ありがとー!\rおもしろかったわよ!!\r
0046	こないだは、おてがみ\rどうもあんがとねー!\r
0047	ヤッホー! [string 1]ちゃん\rおもしろいおてがみ ありがとう。
0048	いつも [string 1]ちゃんの\rおてがみ たのしみにしてるよ!\r
0049	ハーイ! [string 1]ちゃん!\r[string 2]でーす!!\r
004A	ねぇねぇ、[string 1]ちゃん、\rなにか おもしろいことあった?\r
004B	おてがみ、サンキュー!\rさっそく おへんじかきまーす。\r
004C	こんにちは、[string 1]ちゃん\rきょうも マイペース?\r
004D	おてがみ よんだよー!\rちょっと [string 10]!\r
004E	こんにちは、[string 1]ちゃん\rはやおきしてる? アタイはダメ!
004F	こんにちは、[string 1]ちゃん\rはやくねてる?アタイはよふかし!
0050	わらえるおてがみ、ありがと!\rバクショウしちゃった!!\r
0051	[string 1]ちゃんの おてがみ\rいつも たのしみにしてるよ。\r
0052	ハロー、[string 2]でーす。\r[string 1]ちゃん、げんきー?\r
0053	ちょっと、カッタルイかんじ\rけど、げんきをださなきゃね!\r
0054	ハロー! [string 2]よ、\rおてがみ サンキュー!!\r
0055	こんにちは。きょうは、なんだか\rねむたーいの。よふかししすぎ?\r
0056	たいくつなときに おてがみがきてとっても ラッキーしちゃった!\r
0057	[string 1]ちゃんの おてがみ\rいっつも おもしろいねー!\r
0058	さいきんどう?\rなんか たのしいこと あった?\r
0059	おてがみ ありがとー!\r[string 2]でーす。\r
005A	[string 1]ちゃーん!\rいま、なにしてたのかしらー?\r
005B	まいかい たのしいおてがみを\rおくってくれて ありがとねー!\r
005C	ちょくせつ はなすのもいいけど\rおてがみも なかなかのもんよね!
005D	いつもいつも へんてこな\rおてがみを ありがとうね。\r
005E	こんにちは。おへやのインテリア\rととのってきた?\r
005F	[string 1]ちゃん、\rかわったこと なーい?\r
0060	こんにちは、[string 1]!\rてがみ よませてもらったゾ。\r
0061	こんにちは、ごきげんかー?\rおいらは、ゼッコーチョー!!\r
0062	[string 1]ー、げんきか?\rおいらは、バリバリだぜー!!\r
0063	こんちは、[string 2]だ!\rてがみ ありがとよー。\r
0064	こんちは、[string 1]ー!\rおせわをしてまーす! なんて!\r
0065	てがみ ありがとなー!\rおもしろかったぞ、あはは!\r
0066	このあいだは、てがみをくれて\rありがとー、うれしかったぞー!\r
0067	ヤッホー、[string 1]ー!\rてがみ よんだもんねー。\r
0068	いつも [string 1]の\rてがみ たのしみにしてるゾ!\r
0069	オーイ、[string 1]ー!\r[string 2]だーーー!!\r
006A	あのさぁ [string 1]ー、\rなんか おもしろいことあるか?\r
006B	てがみ ありがとー!\rさっそく へんじをかくゾっと!\r
006C	こんちは、[string 1]。\rちゃんと あそんでっか?\r
006D	てがみ よんだぞー!\rスゲェ [string 10]!\r
006E	こんちは、[string 1]ー\rきたない じだな、あいかわらず。
006F	ハロー、[string 1]ー\rあそびにいくまえに へんじかくゾ
0070	[string 13]な てがみ\rサンキュー、[string 1]ー!\r
0071	[string 1]の てがみをよむと\rいつも わらっちゃうぞー!\r
0072	オーッス、[string 2]だー!\r[string 1]に とどいたかー?\r
0073	あそびつかれて ねむたいんだけどガンバって へんじをかくぞー!\r
0074	ちわーッス [string 2]ッス!\rなにしてた? [string 1]ー?\r
0075	ヤア、[string 1]!\rともだち ふえてるかー?\r
0076	たいくつだーって おもってたら\rてがみがきたから ラッキー!\r
0077	[string 1]の てがみって\rいっつも [string 14]だな!\r
0078	さいきん、うんどうしてるか?\rゴロゴロしてると ふとるぞー!\r
0079	てがみ ベリベリ・サンキュー!\rアイアム [string 2]ー!\r
007A	[string 1]ーー!\rちゃんと かおあらったかー?\r
007B	てがみ ありがとな。\rむっちゃ [string 10]。\r
007C	こんちはー、[string 2]だゾー\rてがみがきて うれしいだろー?\r
007D	こんちは、[string 1]!\rそれじゃ、またな。 なんてナー!
007E	オス! サカナつり やってるか?おいら、ガンガンやってるぜー!\r
007F	[string 2]だぞ、こんちはー!\rさっそく へんじをかくぞー!!\r
0080	よぉ、[string 1]!\rてがみ よませてもらったぜぇ。\r
0081	こんにちは、ちょうしはどうだ?\rオレは、まずまずってとこだな。\r
0082	おい、[string 1]、げんきか?\rオレは、まあ ふつうだな。\r
0083	[string 2]だ。\rてがみ ありがとよ。\r
0084	おう、[string 1]。\rいつも せわになってるぜぇ。\r
0085	てがみ ありがとうよ。\rおもしろかったぜぇ、がはははは!
0086	このあいだは、てがみをくれて\rありがとよ、うれしかったぜぇ。\r
0087	よぉ、[string 1]\rてがみ よんだぜぇ。\r
0088	いつも おめぇからのてがみ\rたのしみに してるんだぜぇ。\r
0089	オイ、[string 1]!\r[string 2]だーーー!!\r
008A	コラ、[string 1]、\rなんか おもしろいことはねぇか?
008B	てがみ ありがとよ。\rさっそく へんじをかくとするぜ。
008C	こんちは、[string 1]。\rちゃんと いきてるんだろうな?\r
008D	てがみ よんだぜぇ。\rなんだか [string 10]ぜ。\r
008E	おう、[string 1]!\rあいかわらず おもしれぇな。\r
008F	てがみなんか、よこすなよ。\rめんどくせぇぜ、まったくよぉ!\r
