0000	うま
0001	ひつじ
0002	ぶた
0003	はい
0004	いいえ
0005	なにかある?
0006	こんにちは
0007	しゅうりょう
0008	けいぞく
0009	きょうのカブかは?
000A	うりたいものがあるの
000B	もういいや
000C	うっちゃう!
000D	やめとく
000E	かっちゃう!
000F	みせて!
0010	べつに いい
0011	あげちゃう
0012	もってないもん!
0013	メッセージをなおす
0014	アイテムをあずける
0015	いや、なにも
0016	アイテムみせて
0017	どうぞ
0018	ダメ!
0019	おひっこし
001A	かんけーないじゃん!
001B	まだ、きまってないの
001C	もう、ほっといてよ!
001D	もってるよ!
001E	すこしだけなら
001F	かっこいいなまえだろ
0020	かわいいなまえよね?
0021	そうともさ!
0022	おとこじゃないわよ!
0023	ゆるしてあげる!
0024	おんなじゃないやい!
0025	あってるよ
0026	ちがってるよ!
0027	したどりして!
0028	それで、オッケー!
0029	やっぱ、やめとく
002A	10カブ かう
002B	50カブ かうよ
002C	100カブ かったる
002D	かわないよ!
002E	もう いらない
002F	おしえて!
0030	しってるから いい
0031	ここって、なに?
0032	なんでもなーい!
0033	もらっとく
0034	いらなーい
0035	わかったー!
0036	もういっかい!
0037	おとしもの ある?
0038	わらうなー!!
0039	いいじゃんかー!
003A	きにいった!
003B	イマイチかも
003C	くどいっちゅーの!
003D	やっぱ、まって!
003E	おはよー!
003F	こんちはー!
0040	こんばんはー!
0041	よろしくー!
0042	おてつだい ある?
0043	オッケー!
0044	いいよー!
0045	まかせて!
0046	やったげる!
0047	ガッテンダ!
0048	ひきうけましょう!
0049	しょーがないなぁ
004A	まかせてよ!
004B	ま、いいか!
004C	はーい!
004D	いや!
004E	えー、ヤだ!
004F	できなーい!
0050	それはちょっと・・・
0051	ダメだー!
0052	ザンネンながら・・・
0053	ゴメンナサーイ!
0054	そんなヒマないって!
0055	ダメーみたいなー!
0056	ごめんねー
0057	かさばるモノ
0058	たためるモノ
0059	ふんづけるモノ
005A	よりかかれるモノ
005B	てがみをだしたい
005C	だす
005D	ふりこみしたい
005E	きろくしたい
005F	やっぱ、まだ あそぶ
0060	きろくしないでおわる
0061	かきかえる
0062	でかけるよ
0063	いかないよ
0064	かりていく
0065	それってなに?
0066	かまわないよ
0067	それは こまる
0068	おとどけものでーす!
0069	しってるよ
006A	うらなって!
006B	うん かえる
006C	まだ かえらない
006D	やっぱ かりてかない
006E	しゅっぱつ
006F	そのまえに・・・
0070	おとの せってい
0071	とけいを あわせる
0072	おうちを とりこわす
0073	むらを つくりなおす
0074	ステレオ
0075	モノラル
0076	ヘッドホン
0077	あそぼうとおもう
0078	むらのきろくをかりる
0079	はじめて きました
007A	もってかえった むら
007B	64カセットの むら
007C	かえしにきた むら
007D	いれる
007E	とりだす
007F	おてつだい ある?
0080	おてつだい したい!
0081	なにか てつだわせて
0082	ごようはないですか?
0083	おやくに たちたい!
0084	なんか やらせて!
0085	こまってないっスか?
0086	おしごと ください!
0087	はたらきたいです
0088	なんか たのんでよ!
0089	おはなし しよう!
008A	たいくつだー!
008B	おもしろいことない?
008C	たのしいこと ない?
008D	ヒマなのだー!
008E	おはなし きかせて
008F	なんか はなして!
0090	はなしに きたよ
0091	ちょっと ヒマつぶし
0092	あぶらを うってるの
0093	おはなししよう!
0094	おとどけものでーす!
0095	わすれものでーす!
0096	フルーツもってきた!
0097	ひきとりに きたよ
0098	ボールのことだけどー
0099	ゆきだるまのことでー
009A	おはなのことだけどー
009B	えっと、そのー
009C	ちずを ちょうだい
009D	てがみをほぞんしたい
009E	スイッチを いれる
009F	スイッチを きる
00A0	なにもしない
00A1	あか
00A2	オレンジ
00A3	きいろ
00A4	きみどり
00A5	みどり
00A6	みずいろ
00A7	あお
00A8	むらさき
00A9	ピンク
00AA	くろ
00AB	しろ
00AC	ちゃいろ
00AD	かぐがいい!
00AE	じゅうたんがいい!
00AF	かべがみがいい!
00B0	おかねがいい!
00B1	やる やる!!
00B2	ストップ!
00B3	つぎ!
00B4	りんご
00B5	チェリー
00B6	もも
00B7	なし
00B8	はつもうで
00B9	おはなみ
00BA	うんどうかい
00BB	こどものひ
00BC	つりたいかい
00BD	ラジオたいそう
00BE	はなびたいかい
00BF	おつきみ
00C0	ハロウィン
00C1	クリスマスイブ
00C2	カウントダウン
00C3	そうでーす!
00C4	ちがうよ!
00C5	ぜんぜんダメ
00C6	バッチリ!
00C7	ようふくがいい!
00C8	びんせんがいい!
00C9	これだ!
00CA	みぎ
00CB	ひだり
00CC	まんなか
00CD	まる
00CE	ばつ
00CF	さんかく
00D0	しかく
00D1	どうぶつご
