0000	いとしの\rさんへ
0001	ヤホーーーーーーーー\r
0002	きんきゅう\rきかく!
0003	うれしい \rおしらせ!
0004	うりきれ \rごめん!
0005	とくばいの\rごあんない
0006	きんきゅう\rきかく!
0007	うれしい \rおしらせ!
0008	うりきれ \rごめん!
0009	とくばいの\rごあんない
000A	きんきゅう\rきかく!
000B	うれしい \rおしらせ!
000C	うりきれ \rごめん!
000D	とくばいの\rごあんない
000E	きんきゅう\rきかく!
000F	うれしい \rおしらせ!
0010	うりきれ \rごめん!
0011	とくばいの\rごあんない
0012	みみより\rじょうほう!
0013	にゅうかの\rごあんない
0014	みみより\rじょうほう!
0015	にゅうかの\rごあんない
0016	みみより\rじょうほう!
0017	にゅうかの\rごあんない
0018	かいちくの\rおしらせ!
0019	かいちくの\rおしらせ!
001A	かいちくの\rおしらせ!
001B	しんそう \rかいてん!
001C	リニュー\rアル
001D	グランド\rオープン!
001E	\r
001F	\r
0020	\r
0021	\r
0022	えいえんのともだち\rへ
0023	しゅぎょうちゅうの\rよ
0024	めんきょかいでん\rどの
0025	どうだ? \r??
0026	さっきょくしてみ♪\r
0027	\rよ きをたいせつに
0028	\rは、とたけけ スキ?
0029	ムシとれた? \r??
002A	いのなかの\rへ
002B	\r$s
002C	たびさきでであった\rへ
002D	\rみみをすませ!
002E	\rも たびにでてみなよ
002F	\rの おともだちへ
0030	\rも かぐをあつめてね
0031	イナリかぐ\rオープン
0032	おじゃま\rしまっせ!
0033	まいど\rおおきに!
0034	\rさんの おへやは、
0035	\rさんの おへやは、
0036	\rさんの おへやは、
0037	\rさんの おへやは、
0038	\rさんの おへやは、
0039	\rさんの おへやは、
003A	\rさんの おへやは、
003B	\rさんの おへやは、
003C	\rさんの おへやは、
003D	\rさんの おへやは、
003E	\rさんの おへやは、
003F	\rさんの おへやは、
0040	\rさんの おへやは、
0041	\rさんの おへやは、
0042	\rさんの おへやは、
0043	\rさんの おへやは、
0044	\rさんの おへやは、
0045	\rさんの おへやは、
0046	\rさんの おへやは、
0047	\rさんの おへやは、
0048	\rさんの おへやは、
0049	のうひんしょ \rどの
004A	のうひんしょ \rどの
004B	のうひんしょ \rどの
004C	のうひんしょ \rどの
004D	のうひんしょ \rどの
004E	\r
004F	\r
0050	\r
0051	\r
0052	\r
0053	ふくびきの\rおしらせ
0054	ふくびきの\rおしらせ
0055	ふくびきの\rおしらせ
0056	ふくびきの\rおしらせ
0057	\rさまへ
0058	ふくびきの\rおしらせ
0059	ふくびきの\rおしらせ
005A	ふくびきの\rおしらせ
