0000	たのしい \rくんへ
0001	おもしろい \rくんへ
0002	だいすきな \rくんへ
0003	おかしな \rくんへ
0004	かわいい \rくんへ
0005	オチャメな \rくんへ
0006	Dear.\rくん
0007	しんあいなる \rくんへ
0008	なかよしの \rくんへ
0009	おともだちの \rくんへ
000A	たよれる \rくんへ
000B	イタズラずきの\rくんへ
000C	やさしい \rくんへ
000D	やんちゃな \rくんへ
000E	げんきハツラツ\rくんへ
000F	マイペースな \rくんへ
0010	いだいなる \rくんへ
0011	\rくんへ
0012	\rくんへ
0013	\rくんへ
0014	\rくんへ
0015	\rくんへ
0016	\rくんへ
0017	\rくんへ
0018	\rくんへ
0019	\rくんへ
001A	\rくんへ
001B	\rくんへ
001C	\rくんへ
001D	\rくんへ
001E	\rくんへ
001F	\rくんへ
0020	たのしい \rさんへ
0021	おもしろい \rさんへ
0022	だいすきな \rさんへ
0023	おかしな \rさんへ
0024	かわいい \rさんへ
0025	オチャメな \rさんへ
0026	Dear.\rさん
0027	しんあいなる \rさんへ
0028	なかよしの \rさんへ
0029	おともだちの \rさんへ
002A	ステキな \rさんへ
002B	オシャレな \rさんへ
002C	たよれる \rさんへ
002D	せわずきの \rさんへ
002E	あかるい \rさんへ
002F	マイペースな\rさんへ
0030	にんきものの \rさんへ
0031	TO.\rさんへ
0032	\rさんへ
0033	\rさんへ
0034	\rさんへ
0035	\rさんへ
0036	\rさんへ
0037	\rさんへ
0038	\rさんへ
0039	\rさんへ
003A	\rさんへ
003B	\rさんへ
003C	\rさんへ
003D	\rさんへ
003E	\rさんへ
003F	\rさんへ
0040	たのしい \rちゃんへ
0041	おもしろい \rちゃんへ
0042	だいすきな \rちゃんへ
0043	おかしな \rちゃんへ
0044	かわいい \rちゃんへ
0045	オチャメな \rちゃんへ
0046	Dear.\rちゃん
0047	しんあいなる\rちゃんへ
0048	なかよしの \rちゃんへ
0049	おともだちの\rちゃんへ
004A	イケてる \rちゃんへ
004B	たよれる \rちゃんへ
004C	イタズラな \rちゃんへ
004D	やんちゃな \rちゃんへ
004E	カチキな \rちゃんへ
004F	マイペースな\rちゃんへ
0050	がんばりやの\rちゃんへ
0051	TO.\rちゃんへ
0052	\rちゃんへ
0053	\rちゃんへ
0054	\rちゃんへ
0055	\rちゃんへ
0056	\rちゃんへ
0057	\rちゃんへ
0058	\rちゃんへ
0059	\rちゃんへ
005A	\rちゃんへ
005B	\rちゃんへ
005C	\rちゃんへ
005D	\rちゃんへ
005E	\rちゃんへ
005F	\rちゃんへ
0060	たのしい \rへ
0061	おもしろい \rへ
0062	だいすきな \rへ
0063	おかしな \rへ
0064	ゆうしゃ \rへ
0065	オチャメな \rへ
0066	Dear.\r
0067	しんあいなる \rへ
0068	TO. \rへ
0069	マイフレンド \rへ
006A	たよれる \rへ
006B	イタズラな \rへ
006C	グレートな \rへ
006D	やんちゃな \rへ
006E	げんきハツラツ\rへ
006F	マイペースな \rへ
0070	いだいなる \rへ
0071	\rへ
0072	\rへ
0073	\rへ
0074	\rへ
0075	\rへ
0076	\rへ
0077	\rへ
0078	\rへ
0079	\rへ
007A	\rへ
007B	\rへ
007C	\rへ
007D	\rへ
007E	\rへ
007F	\rへ
0080	2ちょうめの \rへ
0081	おもしれぇ \rへ
0082	ふとっぱらの \rへ
0083	へっぽこ \rへ
0084	ちょこざいな \rへ
0085	なまいきな \rへ
0086	こどもっぽい \r
0087	こわがりな \rへ
0088	しんぱいしょうの \rへ
0089	しんけいしつな \rへ
008A	だいたんふてきな \rへ
008B	グレートな \rへ
008C	ぶきような \rへ
008D	ぬけめのない \rへ
008E	やしんかの  \rへ
008F	なきむしの \rへ
0090	まけずぎらいな \rへ
0091	\rへ
0092	\rへ
0093	\rへ
0094	\rへ
0095	\rへ
0096	\rへ
0097	\rへ
0098	\rへ
0099	\rへ
009A	\rへ
009B	\rへ
009C	\rへ
009D	\rへ
009E	\rへ
009F	\rへ
00A0	おかしな \rちゃんへ
00A1	げんきな \rちゃんへ
00A2	おもしろい \rちゃんへ
00A3	かわいい \rちゃんへ
00A4	おちゃめな \rちゃんへ
00A5	なまいきな \rちゃんへ
00A6	こどもっぽい \rちゃん
00A7	やんちゃな \rちゃんへ
00A8	ごきげんな \rちゃんへ
00A9	なまいきな \rちゃんへ
00AA	たんじゅんな\rちゃんへ
00AB	てがやける \rちゃんへ
00AC	ステキな \rちゃんへ
00AD	スマートな \rちゃんへ
00AE	クールな  \rちゃんへ
00AF	ゆうかんな \rちゃんへ
00B0	かしこい \rちゃんへ
00B1	するどい \rちゃんへ
00B2	みごとな \rちゃんへ
00B3	てんさい \rちゃんへ
00B4	\rちゃんへ
00B5	\rちゃんへ
00B6	\rちゃんへ
00B7	\rちゃんへ
00B8	\rちゃんへ
00B9	\rちゃんへ
00BA	\rちゃんへ
00BB	\rちゃんへ
00BC	\rちゃんへ
00BD	\rちゃんへ
00BE	\rちゃんへ
00BF	\rちゃんへ
00C0	[string 16]の\rくん
00C1	[string 16]の\rくん
00C2	[string 16]の\rくん
00C3	[string 16]の\rくん
00C4	[string 16]の\rくん
00C5	[string 16]の\rくん
00C6	[string 16]の\rくん
00C7	[string 16]の\rくん
00C8	[string 16]の\rくん
00C9	[string 16]の\rくん
00CA	[string 16]の\rくん
00CB	[string 16]の\rくん
00CC	[string 16]の\rくん
00CD	[string 16]の\rくん
00CE	[string 16]の\rくん
00CF	[string 16]の\rくん
00D0	[string 16]の\rくん
00D1	[string 16]の\rくん
00D2	[string 16]の\rくん
00D3	[string 16]の\rくん
00D4	[string 16]の\rくん
00D5	[string 16]の\rくん
00D6	[string 16]の\rくん
