0000	おへんじをおまちしています
0001	またね
0002	なんでもそろう タヌキしょうてん
0003	やすさバクハツ タヌキしょうてん
0004	いいものやすく タヌキしょうてん
0005	アナタのおみせ タヌキしょうてん
0006	なんでもそろう コンビニたぬき
0007	やすさバクハツ コンビニたぬき
0008	いいものやすく コンビニたぬき
0009	アナタのおみせ コンビニたぬき
000A	なんでもそろう スーパーたぬき
000B	やすさバクハツ スーパーたぬき
000C	いいものやすく スーパーたぬき
000D	アナタのおみせ スーパーたぬき
000E	なんでもそろう タヌキデパート
000F	やすさバクハツ タヌキデパート
0010	いいものやすく タヌキデパート
0011	アナタのおみせ タヌキデパート
0012	みんなのおみせ タヌキしょうてん
0013	なんでもそろう コンビニたぬき
0014	いいものみつかる スーパーたぬき
0015	ほりだしものなら スーパーたぬき
0016	たしかなひんしつ タヌキデパート
0017	ショッピングなら タヌキデパート
0018	ありがとだなも タヌキしょうてん
0019	ありがとだなも コンビニたぬき
001A	ありがとだなも スーパーたぬき
001B	よろしくだなも コンビニたぬき
001C	よろしくだなも スーパーたぬき
001D	よろしくだなも タヌキデパート
001E	
001F	
0020	
0021	
0022	ふうらいぼう より
0023	たいせつなのは「じょうねつ」じゃ
0024	きこりのししょうより
0025	ファーマー より
0026	メロディマニア より
0027	うえきしょくにん より
0028	ファンクラブ1ごう より
0029	さくし ムシとりしょうねん
002A	さすらいのたびびと より
002B	+?
002C	たびすきぞうより
002D	タイコしょくにん より
002E	まだまだたびするたびびとより
002F	しんぱいしょうのははより
0030	できたらみんなにじまんしよう!
0031	こないと こうかいしまっせ!
0032	ひとめみれば わかりますって!
0033	ほんま、しゅっけつだいサービス!
0034	ハッピールーム・アカデミー
0035	ハッピールーム・アカデミー
0036	ハッピールーム・アカデミー
0037	ハッピールーム・アカデミー
0038	ハッピールーム・アカデミー
0039	ハッピールーム・アカデミー
003A	ハッピールーム・アカデミー
003B	ハッピールーム・アカデミー
003C	ハッピールーム・アカデミー
003D	ハッピールーム・アカデミー
003E	ハッピールーム・アカデミー
003F	ハッピールーム・アカデミー
0040	ハッピールーム・アカデミー
0041	ハッピールーム・アカデミー
0042	ハッピールーム・アカデミー
0043	ハッピールーム・アカデミー
0044	ハッピールーム・アカデミー
0045	ハッピールーム・アカデミー
0046	ハッピールーム・アカデミー
0047	ハッピールーム・アカデミー
0048	ハッピールーム・アカデミー
0049	タヌキしょうてん つうはんぶ
004A	コンビニたぬき つうはんぶ
004B	スーパーたぬき つうはんぶ
004C	タヌキデパート つうはんぶ
004D	つうしんはんばい マルフクかぐ
004E	
004F	
0050	
0051	
0052	
0053	タヌキしょうてん
0054	コンビニたぬき
0055	スーパーたぬき
0056	タヌキデパート
0057	たぬきち より
