0000	テストもじれつ1
0001	ごぜん
0002	ごご
0003	ねん
0004	がつ
0005	にち
0006	じ
0007	ふん
0008	びょう
0009	にちようび
000A	げつようび
000B	かようび
000C	すいようび
000D	もくようび
000E	きんようび
000F	どようび
0010	ですたい
0011	でゴワス
0012	ですよ
0013	でやす
0014	である
0015	でんがな
0016	でシ
0017	でおます
0018	だゾウ
0019	ですぅ
001A	ですワ
001B	でしゅ
001C	でちゅ
001D	でヤンス
001E	でゴンス
001F	マル
0020	ですだ
0021	ですネ
0022	だがね
0023	だなっす
0024	だぎゃー
0025	だニ
0026	だべ
0027	だっぺ
0028	だス
0029	だっしー
002A	だヨ
002B	だジョー
002C	だブー
002D	っちゃ
002E	っぺ
002F	ッス
0030	ッピ
0031	ってんだ
0032	ってか
0033	ってば
0034	ふふん
0035	なのね
0036	なのだ
0037	のじゃ
0038	のネン
0039	のことよ
003A	のんやん
003B	よのう
003C	のよぉ
003D	なのサ
003E	わい
003F	なんちて
0040	わいなぁ
0041	じゃけん
0042	じゃん
0043	ちぅねん
0044	やんか
0045	よな
0046	ヨネ
0047	よぅ
0048	とかね
0049	とかー
004A	みゃあ
004B	みたいな
004C	マグ
004D	けどー
004E	ずら
004F	どす
0050	さー
0051	まんねん
0052	ザマス
0053	ガンス
0054	カンジー
0055	モン
0056	アンドゥ
0057	ピョン
0058	やっぱし
0059	ヨロシク
005A	プー
005B	キョン
005C	ニョニョ
005D	ミャア
005E	ヨン
005F	リン
0060	パー
0061	グー
0062	ララー
0063	プシュ
0064	ツルルン
0065	チョ
0066	ノン
0067	ぶいぶい
0068	ウール
0069	ありんす
006A	だピー
006B	ネッ
006C	アルヨ
006D	ゼ
006E	ナリ
006F	ニャー
0070	ワン
0071	メソメソ
0072	ガオ
0073	パオ
0074	メェー
0075	だパンク
0076	どすえ
0077	ネコ
0078	キャン
0079	ピヨ
007A	ですダス
007B	なのよ
007C	ったら
007D	だね
007E	のな
007F	なのだわ
0080	ぜよ
0081	でガンス
0082	なの
0083	マル
0084	ルン
0085	ラン
0086	にゅう
0087	なんやん
0088	だイヌ
0089	だよね
008A	ですね
008B	だっピ
008C	なのな
008D	だぜよ
008E	チュー
008F	なのさ
0090	でアール
0091	だわさ
0092	ざんす
0093	だコケ
0094	だモー
0095	なのじゃ
0096	さ
0097	でヤス
0098	だケロ
0099	だよん
009A	だぎゃ
009B	にゃむ
009C	アンマン
009D	アセクサ
009E	アンチョビ
009F	アチョット
00A0	アンドゥー
00A1	ありも
00A2	アッサム
00A3	アーシンド
00A4	アリキック
00A5	ボルシチ
00A6	ビューワー
00A7	バッチーノ
00A8	ブート
00A9	ベンチャラ
00AA	ビザンチン
00AB	ブラウザ
00AC	ビネガー
00AD	ビーフン
00AE	ビンテージ
00AF	ビンタ
00B0	カフィ
00B1	チムタク
00B2	チョモラン
00B3	ちゃんた
00B4	クッチャネ
00B5	カンチコ
00B6	チャウヤン
00B7	チュドーン
00B8	ダージリン
00B9	だんけ
00BA	デュオ
00BB	ドリブル
00BC	イージー
00BD	エラー
00BE	デボン
00BF	フォンデュー
00C0	フォカッチョ
00C1	ファンブル
00C2	フォルテシモ
00C3	ゴンティー
00C4	げん
00C5	ガロン
00C6	ごんた
00C7	ジョージ
00C8	ジャージー
00C9	ギンガム
00CA	ヒュー
00CB	ハンバッカ
00CC	ハロン
00CD	ハレンチノ
00CE	じゅん
00CF	ジョン
00D0	カルパッチョ
00D1	コチュジャン
00D2	けんしろー
00D3	カサブランカ
00D4	カロチン
00D5	るれろう
00D6	レガッタ
00D7	ケチャ
00D8	もっつ
00D9	モロキュウ
00DA	まんじろ
00DB	モノモノ
00DC	ミネギー
00DD	ムノル
00DE	マダガスカル
00DF	モータン
00E0	まさかり
00E1	ナーバナー
00E2	ナンプラー
00E3	ニジョー
00E4	ニェット
00E5	のっぴー
00E6	オーラス
00E7	オヤマン
00E8	ピープー
00E9	プディング
00EA	フィレオ
00EB	ポール
00EC	ポポきち
00ED	ルート
00EE	リンゴ
00EF	るまーん
00F0	リッター
00F1	メガチョロ
00F2	シャンパン
00F3	サスフォー
00F4	しーげる
00F5	しおまる
00F6	シシャモ
00F7	タンショーネ
00F8	てんてん
00F9	テレピン
00FA	テクセル
00FB	たろばん
00FC	ベリファイ
00FD	ベシミチ
00FE	ヨーデル
00FF	ひろし
0100	アルウェン
0101	アリンコ
0102	アンヨ
0103	アープラ
0104	アーチッチ
0105	アンチェリ
0106	ブイヨン
0107	ベシャメル
0108	ブーケ
0109	ブレンダ
010A	ベーグル
010B	キャビア
010C	チマチョゴリ
010D	チャガール
010E	チャンリン
010F	クラクララ
0110	チョキ
0111	チロリーン
0112	ドラドラ
0113	ディミニュ
0114	ドミグラ
0115	エーテル
0116	イーゼル
0117	エコ
0118	エイプリル
0119	エイリン
011A	エクレア
011B	フラン
011C	フラボノ
011D	ファソラ
011E	フィンギス
011F	フェチッチ
0120	グリグラ
0121	ヒュルル
0122	ハチャメ
0123	ホーミー
0124	はな
0125	イースッチ
0126	イッチョラ
0127	いかすみ
0128	インストーラ
0129	いそこ
012A	ジュリア
012B	ココイチ
012C	かんゆ
012D	ケイ
012E	こらそん
012F	レモネード
0130	ラパラパ
0131	ラン
0132	ラメラメ
0133	リリアン
0134	ローリエ
0135	ラディッシュ
0136	ロココ
0137	ランブータン
0138	リミ
0139	まいまい
013A	ムンムン
013B	マーブル
013C	メゾネット
013D	メープル
013E	マンニャ
013F	メノモッソ
0140	メイ
0141	ミー
0142	ミキ
0143	ミルメール
0144	もろみ
0145	マハラ
0146	ニョッキー
0147	のりー
0148	ニョクマム
0149	んてくっるこ
014A	おつう
014B	ポテチ
014C	パルキー
014D	ピータン
014E	ポリポラ
014F	ピチカ
0150	ピロこ
0151	パレット
0152	パーチク
0153	ピーチク
0154	ペスカトーレ
0155	スタッカート
0156	ソナタ
0157	シルエット
0158	しにこ
0159	サリー
015A	シルル
015B	シャーベット
015C	スミモモ
015D	ショコラ
015E	シャギー
015F	スー
0160	トレブル
0161	ビッキー
0162	ティアラ
0163	ウィッチー
0164	キッチン
0165	こくばんのまえ
0166	えきのホームのうえ
0167	デパートのおくじょう
0168	おふろやさん
0169	さばくの どまんなか
016A	みんながみてるところ
016B	こうえんのベンチ
016C	スケートリンク
016D	ふじさんのてっぺん
016E	たいいくかんのウラ
016F	しょうめん げんかん
0170	じょし こういしつ
0171	しょうぎばんのうえ
0172	れいぞうこのなか
0173	ゆうぐれのかいがん
0174	やけいのみえる おか
0175	ぶどうかん
0176	ひとけのないろじうら
0177	ふぶきの むじんえき
0178	こたつのなか
0179	やねのうえ
017A	まよなかの はかば
017B	せきゆストーブのうえ
017C	ガスタンクのてっぺん
017D	しんかんせんのなか
017E	フライパンのうえ
017F	ゆうびんポストのうえ
0180	プールサイド
0181	さびれた ゆうえんち
0182	よごれたタタミのうえ
0183	ピアノはっぴょうかい
0184	ラーメンをすすってる
0185	ヘラヘラわらっている
0186	タマネギをきざんでる
0187	うでたてふせしている
0188	おおごえをだしている
0189	シクシクとないている
018A	うたをうたっている
018B	ぎゅうにゅうのんでる
018C	ゴロゴロころがってる
018D	ぞうきんがけしている
018E	ゆびを くわえている
018F	ハナを たらしている
0190	あなを ほっている
0191	いねむりを している
0192	こしを ぬかしている
0193	サインをせがまれてる
0194	きんぎょすくいしてる
0195	ネギトロをたべている
0196	みみそうじをしている
0197	グッスリねむっている
0198	せきこんでいる
0199	クビを ひねっている
019A	ぼうぜんと している
019B	おおさわぎ している
019C	じっと たえている
019D	こゆびを たてている
019E	クシャミを している
019F	あくびを している
01A0	なげやりになっている
01A1	めをかがやかせている
01A2	うしろにあるいている
01A3	ニンジンをかじってる
01A4	きょだいにふくらんだ
01A5	キラキラとかがやく
01A6	シワシワにちぢんだ
01A7	ピョンピョンはねる
01A8	クルクルかいてんする
01A9	とてつもなくクサイ
01AA	プルプルとふるえた
01AB	ウジウジといじけた
01AC	ニコニコとほほえんだ
01AD	まっかにもえあがった
01AE	まっくろな
01AF	あたまからゆげがでた
01B0	けむくじゃらな
01B1	クネクネとうごめく
01B2	しょんぼりとした
01B3	ギトギトあつくるしい
01B4	カチカチにかたまった
01B5	れいぎただしそうな
01B6	あぶらあせをうかべた
01B7	ねじりはちまきをした
01B8	ヘルメットをかぶった
01B9	ガラのわるそうな
01BA	ひどくおちこんだ
01BB	こむぎいろに やけた
01BC	きんにくモリモリの
01BD	ヒョロヒョロにやせた
01BE	シャツのえりをたてた
01BF	ちょんまげ すがたの
01C0	スタイルばつぐんの
01C1	ぎゃくギレした
01C2	おちつきのない
01C3	めつきの わるい
01C4	でんきスタンド
01C5	たねなしスイカ
01C6	つがるじゃみせん
01C7	せんめんき
01C8	サラリーマン
01C9	さかなやさん
01CA	サッカーせんしゅ
01CB	うちゅうひこうし
01CC	ゲームボーイ
01CD	バーチャルボーイ
01CE	おじいさん
01CF	おばあさん
01D0	ハブラシ
01D1	ランドセル
01D2	おやこどんぶり
01D3	シクラメンのはちうえ
01D4	やきにくていしょく
01D5	スポーツカー
01D6	せんぷうき
01D7	ルーズソックス
01D8	ひこうせん
01D9	ふたこぶラクダ
01DA	ようちえんじ
01DB	アイドルタレント
01DC	イリオモテヤマネコ
01DD	かがみモチ
01DE	メロンパン
01DF	おまわりさん
01E0	キャンペーンガール
01E1	ウェディングドレス
01E2	やかん
01E3	マラソンランナー
01E4	むら
01E5	モンシロチョウ
01E6	モンキチョウ
01E7	アゲハチョウ
01E8	オオムラサキ
01E9	ミンミンゼミ
01EA	ツクツクホウシ
01EB	ヒグラシ
01EC	アブラゼミ
01ED	ハチ
01EE	シオカラトンボ
01EF	アキアカネ
01F0	ギンヤンマ
01F1	オニヤンマ
01F2	ショウリョウバッタ
01F3	トノサマバッタ
01F4	コオロギ
01F5	キリギリス
01F6	スズムシ
01F7	マツムシ
01F8	カナブン
01F9	カブトムシ
01FA	ヒラタクワガタ
01FB	タマムシ
01FC	ゴマダラカミキリ
01FD	テントウムシ
01FE	ナナホシテントウ
01FF	カマキリ
0200	ゲンジボタル
0201	ゴキブリ
0202	ノコギリクワガタ
0203	ミヤマクワガタ
0204	オオクワガタ
0205	たぬきち
0206	つねきち
0207	ハッケミィ
0208	ローラン
0209	セイイチ
020A	ジングル
020B	グレース
020C	カブリバ
020D	ぺりこ
020E	ぺりみ
020F	ぺりお
0210	おまわりさん
0211	えきいんさん
0212	パンプキング
0213	ハニワくん
0214	とたけけ
0215	みしらぬネコ
0216	うおまさ
0217	まめきち
0218	つぶきち
0219	フナ
021A	ヘラブナ
021B	コイ
021C	にしきゴイ
021D	ナマズ
021E	ちいさい バス
021F	ふつうの バス
0220	おおきい バス
0221	ブルーギル
0222	おおナマズ
0223	ライギョ
0224	にごい
0225	うぐい
0226	おいかわ
0227	たなご
0228	どじょう
0229	ワカサギ
022A	アユ
022B	ヤマメ
022C	おおイワナ
022D	ニジマス
022E	イトウ
022F	サケ
0230	きんぎょ
0231	ピラニア
0232	アロワナ
0233	うなぎ
0234	ドンコ
